name,ts,lec_seats,lab_seats,disc_seats,sem_seats,WL,min_indx,Open
EECS 300 - Electrical Engineering Systems Design II,1586246267.5771048,25,25,0,0,0,lab_seats,1
EECS 301 - Probabilistic Methods in Engineering,1586246268.034118,64,0,64,0,0,disc_seats,1
EECS 311 - Analog Circuits,1586246268.4231849,30,21,0,0,0,lab_seats,1
EECS 312 - Digital Integrated Circuits,1586246268.838224,31,0,31,0,0,disc_seats,1
"EECS 314 - Electrical Circuits, Systems and Applications",1586246269.326132,157,157,157,0,0,lab_seats,1
EECS 320 - Introduction to Semiconductor Devices,1586246269.736424,54,0,54,0,0,disc_seats,1
EECS 330 - Introduction to Antennas and Wireless Systems,1586246270.138444,29,29,0,0,0,lab_seats,1
EECS 334 - Principles of Optics,1586246270.542916,24,0,24,0,0,disc_seats,1
EECS 351 - Introduction to Digital Signal Processing,1586246270.9566069,45,0,45,0,0,disc_seats,1
EECS 367 - Introduction to Autonomous Robotics,1586246271.3374631,56,56,0,0,0,lab_seats,1
EECS 370 - Introduction to Computer Organization,1586246271.894185,622,0,617,0,0,disc_seats,1
EECS 373 - Introduction to Embedded System Design,1586246272.280691,58,58,0,0,0,lab_seats,1
EECS 376 - Foundations of Computer Science,1586246272.852923,915,0,566,0,0,disc_seats,1
EECS 388 - Introduction to Computer Security,1586246273.325542,364,364,0,0,0,lab_seats,1
EECS 399 - Directed Study,1586246275.487971,0,0,0,0,0,null,0
EECS 402 - Computer Programming for Scientists and Engineers,1586246275.872742,26,0,26,0,0,disc_seats,1
EECS 409 - Data Science Seminar,1586246276.2549849,0,0,0,0,0,null,0
EECS 411 - M-Wave Circ I,1586246276.67781,15,15,0,0,0,lab_seats,1
EECS 413 - Monolith Amplifier Circuits,1586246277.088119,38,38,0,0,0,lab_seats,1
EECS 414 - Intro to MEMS,1586246277.440803,52,0,52,0,0,disc_seats,1
EECS 417 - Electrical Biophysics,1586246277.839606,22,0,0,0,0,lec_seats,1
EECS 418 - Power Electronics,1586246278.266568,28,14,0,0,0,lab_seats,1
EECS 421 - Properties of Transistors,1586246278.623353,23,0,23,0,0,disc_seats,1
EECS 423 - Sol State Dev Lab,1586246278.9986482,3,3,0,0,0,lab_seats,1
EECS 427 - Very Large Scale Integrated Design I,1586246279.39478,35,35,0,0,0,lab_seats,1
EECS 428 - Introduction to Quantum Nanotechnology,1586246279.80142,32,0,0,0,0,lec_seats,1
EECS 434 - Princ of Photonics,1586246280.2624269,20,0,20,0,0,disc_seats,1
EECS 438 - Adv Lasers Lab,1586246280.693119,5,5,0,0,0,lab_seats,1
EECS 441 - Mobile App Development for Entrepreneurs,1586246281.119526,246,0,160,0,0,disc_seats,1
EECS 442 - Computer Vision,1586246281.507693,137,0,137,0,0,disc_seats,1
EECS 443 - Senior ThesisL,1586246281.966743,0,0,0,0,0,null,0
EECS 445 - Introduction to Machine Learning,1586246282.7841122,303,0,303,0,0,disc_seats,1
EECS 452 - Digital Signal Processing Design Laboratory,1586246283.196202,29,29,0,0,0,lab_seats,1
EECS 455 - Wireless Communication Systems,1586246283.55087,25,0,25,0,0,disc_seats,1
EECS 458 - Biomedical Instrumentation and Design,1586246283.989161,81,81,0,0,0,lab_seats,1
EECS 460 - Control Systems Analysis and Design,1586246284.401376,47,0,47,0,0,disc_seats,1
EECS 461 - Embedded Control Systems,1586246284.86042,96,96,0,0,0,lab_seats,1
EECS 463 - Power Systems Design and Operations,1586246285.254025,37,0,0,0,0,lec_seats,1
EECS 467 - Autonomous Robotics Design Experience,1586246285.677653,27,27,0,0,0,lab_seats,1
EECS 470 - Computer Architecture,1586246286.110552,42,42,0,0,0,lab_seats,1
EECS 473 - Advanced Embedded Systems,1586246286.5390358,42,42,0,0,0,lab_seats,1
EECS 477 - Introduction to Algorithms,1586246287.0824919,77,0,77,0,0,disc_seats,1
EECS 478 - Logic Circuit Synthesis and Optimization,1586246287.483205,50,0,50,0,0,disc_seats,1
EECS 480 - Social Computing Systems,1586246287.880938,42,0,42,0,0,disc_seats,1
EECS 481 - Software Engineering,1586246288.311003,147,0,147,0,0,disc_seats,1
EECS 482 - Introduction to Operating Systems,1586246288.7590861,233,233,0,0,0,lab_seats,1
EECS 483 - Compiler Construction,1586246289.132386,70,0,0,0,0,lec_seats,1
EECS 484 - Database Management Systems,1586246289.6139488,340,0,340,0,0,disc_seats,1
EECS 485 - Web Systems,1586246290.115239,494,414,0,0,0,lab_seats,1
